"HGNC_symbol","HGNC_ID","ENSG","entrez_id"
"MT-TF","HGNC:7481","ENSG00000210049",NA
"MT-RNR1","HGNC:7470","ENSG00000211459",NA
"MT-TV","HGNC:7500","ENSG00000210077",NA
"MT-RNR2","HGNC:7471","ENSG00000210082",NA
"MT-TL1","HGNC:7490","ENSG00000209082",NA
"MT-ND1","HGNC:7455","ENSG00000198888",4535
"MT-TI","HGNC:7488","ENSG00000210100",NA
"MT-TQ","HGNC:7495","ENSG00000210107",NA
"MT-TM","HGNC:7492","ENSG00000210112",NA
"MT-ND2","HGNC:7456","ENSG00000198763",4536
"MT-TW","HGNC:7501","ENSG00000210117",NA
"MT-TA","HGNC:7475","ENSG00000210127",NA
"MT-TN","HGNC:7493","ENSG00000210135",NA
"MT-TC","HGNC:7477","ENSG00000210140",NA
"MT-TY","HGNC:7502","ENSG00000210144",NA
"MT-CO1","HGNC:7419","ENSG00000198804",4512
"MT-TS1","HGNC:7497","ENSG00000210151",113219467
"MT-TD","HGNC:7478","ENSG00000210154",NA
"MT-CO2","HGNC:7421","ENSG00000198712",4513
"MT-TK","HGNC:7489","ENSG00000210156",NA
"MT-ATP8","HGNC:7415","ENSG00000228253",4509
"MT-ATP6","HGNC:7414","ENSG00000198899",4508
"MT-CO3","HGNC:7422","ENSG00000198938",4514
"MT-TG","HGNC:7486","ENSG00000210164",NA
"MT-ND3","HGNC:7458","ENSG00000198840",4537
"MT-TR","HGNC:7496","ENSG00000210174",NA
"MT-ND4L","HGNC:7460","ENSG00000212907",4539
"MT-ND4","HGNC:7459","ENSG00000198886",4538
"MT-TH","HGNC:7487","ENSG00000210176",NA
"MT-TS2","HGNC:7498","ENSG00000210184",NA
"MT-TL2","HGNC:7491","ENSG00000210191",NA
"MT-ND5","HGNC:7461","ENSG00000198786",4540
"MT-ND6","HGNC:7462","ENSG00000198695",4541
"MT-TE","HGNC:7479","ENSG00000210194",NA
"MT-CYB","HGNC:7427","ENSG00000198727",4519
"MT-TT","HGNC:7499","ENSG00000210195",NA
"MT-TP","HGNC:7494","ENSG00000210196",NA
"","","ENSG00000299200",NA
"","","ENSG00000308964",NA
"","","ENSG00000278457",NA
"","","ENSG00000271254",124905564
"","","ENSG00000278704",NA
"","","ENSG00000278625",124905334
"","","ENSG00000309338",NA
"","","ENSG00000295063",100505874
"","","ENSG00000309357",NA
"","","ENSG00000309229",NA
"","","ENSG00000310277",NA
"","","ENSG00000304745",101928669
"","","ENSG00000304745",124907012
"","","ENSG00000276197",NA
"","","ENSG00000297844",NA
"","","ENSG00000309258",NA
"","","ENSG00000278573",NA
"","","ENSG00000303173",NA
"","","ENSG00000278294",124907156
"","","ENSG00000278294",124907485
"","","ENSG00000278294",124908250
"RNA5-8SN5","HGNC:53533","ENSG00000274917",100008587
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907114
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907115
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907116
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907117
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907118
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907119
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907120
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907121
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907122
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907123
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907124
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907125
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907126
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907127
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907128
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907129
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907130
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907131
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907132
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907133
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907134
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907135
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907136
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907137
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907138
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907139
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907140
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907141
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907142
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907143
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907144
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907145
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907146
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907147
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907148
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907149
"RNA5-8SN5","HGNC:53533","ENSG00000274917",124907150
